champion_name,win_rates,wins,losses,date
Quinn,100.0,1,0,2021-02-24 11:07:58.066120
Aphelios,100.0,1,0,2021-02-24 11:07:58.066120
Katarina,100.0,1,0,2021-02-24 11:07:58.066120
Gangplank,100.0,1,0,2021-02-24 11:07:58.066120
Udyr,100.0,1,0,2021-02-24 11:07:58.066120
Chogath,100.0,1,0,2021-02-24 11:07:58.066120
Annie,100.0,1,0,2021-02-24 11:07:58.066120
Yasuo,100.0,1,0,2021-02-24 11:07:58.066120
Alistar,100.0,1,0,2021-02-24 11:07:58.066120
Yorick,100.0,1,0,2021-02-24 11:07:58.066120
