champion_name,wins,losses,kills_assists,deaths,date
Fiora,2,4,83,46,1615997739245
Malphite,0,1,6,7,1615997739245
Zilean,0,1,2,6,1615997739245
Seraphine,4,2,63,36,1615997739245
TwistedFate,2,0,52,16,1615997739245
Chogath,0,1,7,6,1615997739245
Irelia,1,0,17,5,1615997739245
Camille,1,0,4,6,1615997739245
