champion_name,wins,losses,kills_assists,deaths,date
Varus,0,1,4,7,1616687390125
Skarner,29,28,770,220,1616687390125
Maokai,0,1,17,4,1616687390125
Ivern,19,22,553,175,1616687390125
Heimerdinger,0,1,5,7,1616687390125
Hecarim,1,0,23,5,1616687390125
Draven,2,0,22,11,1616687390125
